label,text
like,源海都学愤怒鸟的声音，好像好厉害…
sadness,还比愤怒鸟射击的动作，我为啥一千啊现在…
sadness,海赫还悄悄话了刚才，怎么不是我四千二的时候啊哈哈，悲愤！
like,嘿嘿~~最优秀的作品，值得用诚意去尊重~因为我喜欢她的音乐，因为我爱李宇春，所以，我愿意收藏并向周围的人推荐她的每一张心血之作~
sadness,要到很久很久以后才发觉，原来，等待着整治我们的，是命运模子，不管愿不愿意，便套将上来挤压。
sadness,我们忍着疼痛在夹缝中畸怪地存活下来，同我们原来的样子，已有着很大的出入。
sadness,使我们觉得自己似乎一文不值。
like,所以不管在人生路上还是考研路上，面对逆境时我们依然要相信自己是无价之宝、自己是最棒的。
anger,如果只是维护三大石油集团的利益，跟我有毛关系呢？
anger,那些像打了鸡血一样的愤青，你坐飞机他们会给你燃油附加费打八折吗？
happiness,刚才准高三的体育生和高一届的体育生拔河，太鸡冻了~但忘拍照了，好像明天也来，明天高二的要争气了！！！
sadness,他们的劳动强度可想而知。
happiness,话说大约十年前，十块钱炸肉岗尖一盘，加一瓶啤酒，就是我一顿饱饱的午餐。
surprise,现在呢，图中这寥寥十数根，就是十块钱的肉，算开胃菜么?
sadness,通胀的猪肉伤不起啊[泪]
disgust,这不仅是隐蔽腐败!
disgust,"更是对""义务教育""的严重反动与挑战!!"
like,如同观看一部真正的大片一样...
like,看到了首回合人类的顽强抵抗...
disgust,看到了次回合宇宙发挥不折手段的恐怖...
sadness,无助...
sadness,无奈...
sadness,绝望...
happiness,庆幸能看到这样一部上下集的大片...
like,相信人类依然会不断地努力去征服的！
like,《证据》也后终于要送审了，期待的人们，为之祈祷顺利通过吧！
like,你会不会因为一首歌喜欢上一个人，因为一个人喜欢一个城市；因为一个城市喜欢上一种生活，然后因为一首歌，想念某个人？[月亮]
disgust,而不是老琢磨，老去怀疑自己。
like,2011，找回自信的自己！！
sadness,有些事情非常让人揪心，为何直接创造产品的收入很低（农民、蓝领、灰领）而间接的（药批、菜批、建材批、酒批等等批们）却赚得盆满钵满呀。
sadness,发人深省......
disgust,美股27日收盘C 39.9900，大家玩玩文字游戏吧，扩股再缩股，反正听你说的那么头头是道，何不预测下一年后股价？
disgust,这忒不会说话了，应该和教育部部长说好，我提案，你敲边。
disgust,//@聂晓晶:看来当年躲过了上山下乡 //@炯翔:这种博物馆的馆长还是在博物馆里供起来当文物算了，极品文物。
disgust,//@科家2011:脑残不全是你的错，脑残了还要出来丢人现眼就是你不对了。
happiness,活动消息传开，得到佛山市粮有油食品公司的积极响应，1137升的大空间，为咱们的活动换回来近80箱的面条！
sadness,[泪]
anger,贵州人，大学副教授，因举报贪污腐败而家破人亡，流落街头。
anger,因多次寻求司法帮助未果，现辗转于各地，希望通过广大有善之人的帮助，能够异地审理此案件。
anger,(之前的围脖在转发4771次后被和谐，新浪编辑，如果你们再和谐，下一个被迫害的就是你家人)
happiness,尼玛！！！
